Date : 2026-03-04 14:38:29
Directory : c:\JoystickGremlin-develop
Total : 367 files,  173019 codes, 24840 comments, 48494 blanks, all 246353 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Python           |        180 |    133,937 |     23,546 |     38,174 |    195,657 |
| XML              |         97 |     15,617 |        110 |        148 |     15,875 |
| HTML             |         19 |     13,208 |          0 |      6,458 |     19,666 |
| JavaScript       |         38 |      5,158 |      1,180 |        942 |      7,280 |
| Markdown         |         14 |      4,919 |          0 |      2,741 |      7,660 |
| YAML             |          4 |         76 |          1 |          9 |         86 |
| Batch            |          7 |         44 |          0 |         16 |         60 |
| pip requirements |          1 |         25 |          3 |          3 |         31 |
| Ini              |          1 |         18 |          0 |          1 |         19 |
| Log              |          1 |         13 |          0 |          1 |         14 |
| PostCSS          |          3 |          3 |          0 |          0 |          3 |
| JSON             |          1 |          1 |          0 |          0 |          1 |
| Dotenv           |          1 |          0 |          0 |          1 |          1 |
+------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                       | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                          |        367 |    173,019 |     24,840 |     48,494 |    246,353 |
| . (Files)                                                                                  |         21 |     27,629 |        937 |      2,477 |     31,043 |
| .github                                                                                    |          2 |         30 |          1 |          9 |         40 |
| .github (Files)                                                                            |          1 |          1 |          1 |          2 |          4 |
| .github\workflows                                                                          |          1 |         29 |          0 |          7 |         36 |
| about                                                                                      |          9 |      1,384 |          0 |        297 |      1,681 |
| action_plugins                                                                             |         83 |     37,095 |      4,077 |      9,024 |     50,196 |
| action_plugins (Files)                                                                     |          2 |          0 |         30 |          4 |         34 |
| action_plugins\control                                                                     |          1 |        304 |         28 |         91 |        423 |
| action_plugins\cycle_modes                                                                 |          1 |        242 |         36 |        103 |        381 |
| action_plugins\description                                                                 |          1 |         82 |         41 |         45 |        168 |
| action_plugins\gated_axis                                                                  |          1 |      1,351 |        116 |        510 |      1,977 |
| action_plugins\kvm                                                                         |          1 |        297 |         71 |        122 |        490 |
| action_plugins\macro                                                                       |         37 |      4,287 |        257 |        549 |      5,093 |
| action_plugins\macro (Files)                                                               |          1 |      1,787 |        227 |        489 |      2,503 |
